N,M,sparsity,naive_time,blas_time,opt_time,naive_speedup,blas_speedup,opt_speedup
3020,100,0.000320513,1511250,112458,72834,1,13.44,20.75
3030,100,0.000319489,1552875,117834,71625,1,13.18,21.68
3040,100,0.000318471,1521333,119333,72333,1,12.75,21.03
3050,100,0.00031746,1543042,114125,71250,1,13.52,21.66
3060,100,0.000316456,1562292,118125,74375,1,13.23,21.01
3070,100,0.000315457,1612792,118333,73166,1,13.63,22.04
3080,100,0.000314465,1611667,117084,73834,1,13.77,21.83
3090,100,0.00031348,1583417,122375,73125,1,12.94,21.65
3100,100,0.0003125,1567625,120083,78792,1,13.05,19.9
3110,100,0.000311526,1547584,130834,74708,1,11.83,20.72
3120,100,0.000310559,1577750,115958,73916,1,13.61,21.35
3130,100,0.000309598,1635209,135084,134583,1,12.11,12.15
3140,100,0.000308642,1585583,116625,73333,1,13.6,21.62
3150,100,0.000307692,1595375,122625,73500,1,13.01,21.71
3160,100,0.000306748,1587167,118625,75375,1,13.38,21.06
3170,100,0.00030581,1621083,121250,81959,1,13.37,19.78
3180,100,0.000304878,1610416,122458,75458,1,13.15,21.34
3190,100,0.000303951,1623750,121666,74417,1,13.35,21.82
3200,100,0.00030303,1678417,128584,76458,1,13.05,21.95
3210,100,0.000302115,1708625,124583,74916,1,13.71,22.81
3220,100,0.000301205,1666375,120875,75500,1,13.79,22.07
3230,100,0.0003003,1653625,123000,74875,1,13.44,22.09
3240,100,0.000299401,1671583,124042,80000,1,13.48,20.89
3250,100,0.000298507,1657459,139375,76667,1,11.89,21.62
3260,100,0.000297619,1665291,123083,76625,1,13.53,21.73
3270,100,0.000296736,1652667,122334,76667,1,13.51,21.56
3280,100,0.000295858,1674167,122208,76208,1,13.7,21.97
3290,100,0.000294985,1654583,120916,75708,1,13.68,21.85
3300,100,0.000294118,1672167,125334,79625,1,13.34,21
3310,100,0.000293255,1663167,126459,77958,1,13.15,21.33
3320,100,0.000292398,1690959,126708,80042,1,13.35,21.13
